gender,marital_status,product_family,product_department,product_category,month_of_year,quarter,the_year,store_sales,store_cost,unit_sales,customer_count,fact_count
F,S,Food,Canned Foods,Canned Soup,1,Q1,1997,311.8900,124.0162,155.0000,46,49
F,S,Food,Starchy Foods,Starchy Foods,1,Q1,1997,221.3800,87.1027,97.0000,32,34
F,S,Food,Produce,Vegetables,1,Q1,1997,856.8500,349.2076,392.0000,105,130
F,S,Non-Consumable,Household,Plastic Products,1,Q1,1997,194.0400,78.0625,65.0000,18,20
F,S,Drink,Dairy,Dairy,1,Q1,1997,153.5200,62.6641,87.0000,27,28
F,S,Food,Snacks,Candy,1,Q1,1997,212.4500,86.1060,101.0000,31,32
F,S,Food,Dairy,Dairy,1,Q1,1997,616.0600,245.6330,257.0000,71,78
F,S,Food,Baking Goods,Jams and Jellies,1,Q1,1997,407.1100,164.7645,212.0000,57,67
F,S,Non-Consumable,Household,Cleaning Supplies,1,Q1,1997,173.7500,70.5804,85.0000,27,27
F,M,Food,Produce,Vegetables,1,Q1,1997,966.3600,381.6412,457.0000,116,144
M,M,Food,Eggs,Eggs,1,Q1,1997,179.7800,74.4732,90.0000,29,30
M,M,Food,Snack Foods,Snack Foods,1,Q1,1997,1216.8500,489.3705,559.0000,141,184
M,M,Food,Baking Goods,Jams and Jellies,1,Q1,1997,407.5700,164.3166,232.0000,71,80
M,M,Non-Consumable,Household,Cleaning Supplies,1,Q1,1997,185.3500,72.4231,81.0000,25,26
M,M,Food,Dairy,Dairy,1,Q1,1997,456.8900,186.8729,209.0000,58,66
M,M,Non-Consumable,Health and Hygiene,Decongestants,1,Q1,1997,84.6500,33.0645,48.0000,17,17
M,M,Food,Canned Foods,Canned Soup,1,Q1,1997,290.7500,117.0845,171.0000,50,56
M,M,Food,Produce,Packaged Vegetables,1,Q1,1997,33.5900,12.7077,15.0000,6,6
M,S,Food,Baking Goods,Jams and Jellies,1,Q1,1997,524.5000,200.3453,248.0000,79,84
M,S,Food,Snack Foods,Snack Foods,1,Q1,1997,1359.9200,548.0956,624.0000,152,212
M,M,Food,Deli,Meat,1,Q1,1997,511.1800,196.5265,215.0000,61,67
M,M,Food,Produce,Vegetables,1,Q1,1997,818.1200,329.6991,377.0000,93,121
M,M,Food,Starchy Foods,Starchy Foods,1,Q1,1997,215.7400,87.7924,94.0000,30,30
M,M,Food,Breakfast Foods,Breakfast Foods,1,Q1,1997,83.7500,34.8970,44.0000,14,14
F,S,Food,Baking Goods,Baking Goods,1,Q1,1997,333.3700,133.6341,196.0000,57,65
F,S,Food,Frozen Foods,Vegetables,1,Q1,1997,229.8500,91.9255,120.0000,35,39
F,S,Drink,Beverages,Drinks,1,Q1,1997,82.2100,34.6695,42.0000,15,15
F,M,Drink,Alcoholic Beverages,Beer and Wine,1,Q1,1997,318.7000,124.1620,160.0000,48,50
F,M,Non-Consumable,Health and Hygiene,Hygiene,1,Q1,1997,139.3700,56.3324,71.0000,25,25
F,M,Food,Deli,Meat,1,Q1,1997,442.9800,179.4658,221.0000,64,70
M,S,Food,Eggs,Eggs,1,Q1,1997,183.3400,71.1502,69.0000,22,23
M,S,Food,Baking Goods,Baking Goods,1,Q1,1997,331.5400,130.0213,176.0000,51,55
M,S,Food,Produce,Vegetables,1,Q1,1997,962.6700,383.7538,448.0000,121,148
M,S,Food,Deli,Meat,1,Q1,1997,323.1200,128.0725,155.0000,49,52
M,M,Food,Produce,Fruit,1,Q1,1997,482.8300,189.3426,220.0000,64,69
M,M,Food,Baked Goods,Bread,1,Q1,1997,312.5400,123.6985,156.0000,44,49
F,S,Non-Consumable,Household,Paper Products,1,Q1,1997,325.6700,132.4289,139.0000,40,44
F,S,Food,Snack Foods,Snack Foods,1,Q1,1997,1352.9900,537.3005,580.0000,134,189
M,S,Drink,Dairy,Dairy,1,Q1,1997,169.6500,69.8220,105.0000,33,36
M,S,Food,Canned Foods,Canned Soup,1,Q1,1997,239.5000,92.0705,132.0000,42,45
M,S,Food,Produce,Fruit,1,Q1,1997,604.3000,239.8846,292.0000,85,96
M,S,Food,Frozen Foods,Breakfast Foods,1,Q1,1997,233.1400,90.8032,137.0000,43,45
M,S,Food,Snacks,Candy,1,Q1,1997,392.4700,154.9475,200.0000,58,63
