time_id,customer_id,store_sales,store_cost,unit_sales,fact_count
371,6280,3.1200,1.1418,5.0000,2
371,4018,17.7800,6.6696,9.0000,4
371,1418,14.3800,5.4616,7.0000,4
371,4382,3.8800,1.7072,2.0000,1
371,1293,12.0300,5.8387,6.0000,4
394,9305,8.4500,3.4203,5.0000,3
394,5649,12.7600,4.9310,5.0000,3
394,6319,5.7300,2.1811,4.0000,3
394,1771,23.1300,8.4602,8.0000,5
394,3211,18.5300,7.3591,6.0000,5
376,4217,18.5200,7.2446,6.0000,3
376,4772,23.4400,10.3696,12.0000,7
376,4787,12.5100,4.6456,6.0000,4
376,2508,15.3800,6.4413,6.0000,4
376,1493,13.7400,5.2565,8.0000,6
395,8178,19.2900,7.3091,11.0000,6
395,7525,26.2400,9.7533,11.0000,7
395,3628,13.6100,4.9398,8.0000,5
395,3182,13.0200,5.2890,10.0000,5
395,8878,7.1300,2.9379,3.0000,2
395,5164,23.0900,8.8811,12.0000,7
374,8854,6.5000,2.7658,4.0000,3
374,599,10.5600,3.8615,4.0000,3
374,9617,5.1800,2.0672,2.0000,2
374,2741,18.1800,6.3966,9.0000,4
374,1627,9.0600,3.6288,6.0000,3
374,4863,19.8200,7.2695,10.0000,4
404,4600,13.3100,5.0021,5.0000,4
404,10198,12.4200,4.7502,5.0000,2
404,6403,7.7800,2.9852,4.0000,2
404,8177,22.1500,8.7507,10.0000,7
404,5649,9.5600,4.3192,4.0000,2
401,1627,22.0800,9.0470,7.0000,4
401,4772,11.0800,4.6858,4.0000,3
401,2180,5.9900,2.3079,5.0000,2
401,8147,1.4600,0.5402,2.0000,1
401,7053,13.1900,5.9060,7.0000,4
420,8983,5.0400,1.6240,3.0000,2
420,1333,39.3700,15.5806,15.0000,6
420,5188,37.7100,15.7089,16.0000,6
420,2965,22.7200,8.7069,9.0000,6
420,4645,9.9800,3.6754,4.0000,3
407,8854,17.3600,7.5462,10.0000,5
407,8613,17.2600,7.5982,9.0000,6
407,5015,16.5500,5.5223,6.0000,4
407,10179,3.1000,1.1386,3.0000,2
407,3779,22.3700,8.2974,11.0000,7
399,7008,4.8100,1.7391,4.0000,3
399,3883,5.9500,1.9773,2.0000,2
399,10261,9.4000,3.2022,3.0000,2
399,2126,23.6000,8.8147,9.0000,6
399,6319,3.9900,1.3892,2.0000,2
446,5873,18.2300,6.5594,7.0000,4
446,5397,14.0000,5.5892,7.0000,4
446,206,11.9700,4.5817,7.0000,4
446,1493,5.5800,2.5458,3.0000,2
446,7656,15.9000,6.2532,6.0000,4
454,7192,20.8300,9.8495,9.0000,4
454,3739,11.6400,4.3494,4.0000,2
454,8572,15.6600,6.1170,6.0000,5
454,5188,11.5400,4.2744,10.0000,4
454,6319,10.6600,3.5652,6.0000,3
454,4563,14.8700,5.7487,7.0000,4
430,9618,13.5200,5.8073,5.0000,4
430,7961,13.0100,5.3415,5.0000,4
430,6403,13.7000,5.4115,7.0000,6
430,1333,5.7600,2.3616,2.0000,1
430,5649,8.5500,3.4965,5.0000,2
430,6468,18.2800,7.0710,11.0000,5
431,9278,15.4500,6.2158,9.0000,7
431,8177,11.8400,4.6896,6.0000,4
431,854,8.8700,3.7776,4.0000,3
431,2630,17.8900,7.3375,8.0000,5
431,7456,10.3500,4.1084,4.0000,4
436,7586,9.7000,3.9508,5.0000,3
436,8523,9.3400,3.3836,3.0000,2
436,2741,13.6900,5.1309,7.0000,4
436,8732,10.6200,4.0900,6.0000,3
436,3211,18.1500,8.1706,8.0000,5
436,7462,12.5700,4.9858,7.0000,4
479,3182,9.7000,4.4567,4.0000,3
479,1934,18.0100,7.1328,9.0000,7
479,1057,20.0900,8.6664,9.0000,6
479,5650,7.4100,2.8723,3.0000,3
479,4563,9.9900,4.2317,5.0000,3
479,3645,3.9000,1.7424,2.0000,2
464,1264,16.4100,6.3938,9.0000,6
464,5720,15.4500,6.3931,9.0000,7
464,6814,21.9100,8.9692,9.0000,5
464,9517,7.6000,3.1152,5.0000,3
464,5650,17.8300,7.3317,9.0000,7
480,1695,21.3500,8.7493,10.0000,6
480,206,5.0800,2.1300,3.0000,2
480,7798,7.7900,3.2129,4.0000,2
480,9305,11.4500,5.1765,5.0000,3
480,10188,13.0600,5.6982,6.0000,3
480,8377,6.8000,2.3972,3.0000,2
480,5164,17.3700,7.3177,9.0000,6
484,1810,7.4600,3.0682,5.0000,3
484,1503,8.5100,3.7389,5.0000,3
484,7032,3.6000,1.0800,1.0000,1
484,338,18.2600,7.5990,8.0000,6
484,7456,18.5400,6.7652,8.0000,6
484,1734,1.5900,0.5724,1.0000,1
484,10103,9.1100,3.5529,3.0000,2
462,5328,9.5100,3.5231,6.0000,4
462,6074,11.2100,4.5975,9.0000,6
462,7192,5.8700,2.4415,5.0000,3
462,4076,3.9300,1.7364,2.0000,2
462,1418,19.4700,8.5294,9.0000,6
462,9794,6.5200,2.4452,3.0000,2
462,4863,44.0000,16.8313,17.0000,6
514,9794,25.5200,10.0394,14.0000,7
514,1810,16.0500,6.5846,9.0000,7
514,10010,1.9800,0.7326,1.0000,1
514,7192,31.5500,12.1020,10.0000,5
514,5467,9.1800,3.6001,5.0000,4
503,3182,8.0700,3.4140,4.0000,4
503,7809,2.7000,0.9720,1.0000,1
503,5689,20.3200,8.6084,8.0000,4
503,2872,15.9200,5.9134,9.0000,6
503,8908,7.1400,3.0699,5.0000,4
516,3038,9.3500,4.0211,4.0000,3
516,7901,14.0100,5.5704,6.0000,6
516,1796,11.4900,4.7130,5.0000,3
516,6309,16.9300,5.6246,8.0000,5
516,5850,19.5400,8.3544,11.0000,7
497,7008,13.7700,5.1070,7.0000,5
497,4487,12.9100,5.0787,6.0000,4
497,4209,2.7600,1.3100,3.0000,2
497,10255,19.3600,8.0214,10.0000,6
497,9933,18.6800,7.2044,8.0000,6
504,5237,14.9800,6.3624,8.0000,6
504,8277,25.3800,9.1768,13.0000,7
504,5121,7.9600,3.1302,3.0000,2
504,6243,3.8200,1.5360,4.0000,2
504,5549,27.2600,12.0142,13.0000,7
527,4487,11.0300,4.6909,7.0000,4
527,4209,5.7500,2.2530,3.0000,2
527,10255,17.5400,7.7140,10.0000,6
527,9933,13.2300,5.6533,8.0000,6
545,10093,10.1700,4.4187,5.0000,3
545,4800,7.0300,2.7510,5.0000,3
545,6695,24.3200,9.9292,10.0000,5
545,9618,7.8600,2.8296,2.0000,1
529,7843,7.3600,3.0106,4.0000,2
529,9651,9.3400,3.6044,5.0000,3
529,10261,16.7300,6.6367,7.0000,5
529,2320,10.9400,3.8962,4.0000,3
539,7809,15.4000,6.5687,9.0000,7
539,4117,3.3400,1.4190,2.0000,2
539,7336,13.7700,4.9316,5.0000,3
539,9617,7.4500,3.3691,4.0000,3
539,7329,30.5400,12.6699,12.0000,6
546,6602,14.2600,5.7919,9.0000,6
546,1734,17.0700,7.7090,8.0000,6
546,1771,13.5300,6.1596,5.0000,4
546,10063,16.3500,6.8207,8.0000,6
546,9351,17.1100,7.8831,8.0000,5
561,8489,14.7400,5.7136,5.0000,4
561,10093,4.7000,1.6920,2.0000,1
561,3645,15.5500,6.1575,6.0000,5
561,5720,15.3500,6.4905,6.0000,5
561,3493,8.9200,3.6620,6.0000,3
562,8185,26.4800,10.1727,12.0000,7
562,5188,25.4800,9.8006,11.0000,6
562,2759,8.0200,3.2908,4.0000,4
562,10010,3.1900,1.1803,1.0000,1
562,7032,16.8900,6.8394,6.0000,5
564,3038,6.5400,2.4902,5.0000,3
564,4730,18.1300,7.0647,7.0000,5
564,2340,5.7600,2.2744,3.0000,2
564,5649,28.7300,12.1304,12.0000,5
564,1293,3.6100,1.5227,3.0000,2
564,5713,3.3800,1.3520,2.0000,1
576,5337,10.9300,4.5525,7.0000,4
576,9078,7.2800,3.2192,4.0000,2
576,9199,25.8200,11.0290,10.0000,6
576,7543,10.5500,4.6259,5.0000,4
576,6243,5.4300,1.8905,3.0000,2
576,206,13.6300,5.6594,6.0000,4
551,9933,15.0100,5.2878,6.0000,5
551,9054,4.8300,1.9776,2.0000,2
551,10103,9.3900,3.3406,5.0000,3
551,326,8.0700,3.1051,4.0000,3
551,5470,2.4400,0.7320,2.0000,1
551,544,29.2500,12.0837,12.0000,6
551,9517,7.9400,3.1808,4.0000,4
592,8878,13.8100,5.9543,6.0000,4
592,8732,14.6300,6.1019,5.0000,4
592,10103,12.6800,4.7054,6.0000,3
592,9646,14.8900,6.0504,7.0000,4
588,9664,9.8500,4.0586,5.0000,3
588,9136,4.7600,1.5412,3.0000,2
588,2805,11.5500,3.9837,5.0000,3
588,2683,15.7300,6.1901,8.0000,5
599,5862,26.4200,10.5479,11.0000,7
599,6309,12.3100,4.7492,5.0000,3
599,8277,14.2600,5.1924,6.0000,3
599,7450,18.3900,6.7677,5.0000,2
597,6309,8.7800,3.2106,8.0000,4
597,1562,15.2900,5.6606,8.0000,4
597,6993,13.6400,5.2395,8.0000,5
597,8177,9.7100,4.2903,4.0000,3
581,5015,25.4400,9.6734,10.0000,6
581,1493,9.9900,3.6437,6.0000,4
581,7919,23.8800,9.3226,10.0000,6
581,4645,20.5300,9.0180,11.0000,6
581,6953,13.4700,5.4703,6.0000,5
618,6993,18.5000,6.4118,8.0000,6
618,1293,5.4700,2.3407,4.0000,4
618,6403,21.0700,7.4820,11.0000,7
618,7438,15.1300,5.6356,9.0000,5
619,7586,4.2000,1.9084,3.0000,2
619,1057,21.3100,9.3576,8.0000,5
619,4394,14.6500,6.0568,7.0000,5
619,4487,34.9100,13.8437,12.0000,7
619,1652,21.8600,9.6492,8.0000,5
631,4772,17.4800,6.4488,10.0000,6
631,9199,17.1600,7.6782,9.0000,5
631,5650,7.8500,2.9938,7.0000,4
631,3182,20.7800,7.6556,7.0000,4
631,4210,29.5100,12.3312,12.0000,5
632,6074,25.9200,11.1995,10.0000,7
632,1333,15.5200,6.3496,14.0000,5
632,7543,18.5700,6.7715,9.0000,6
632,7032,23.3100,9.7331,9.0000,6
632,2180,24.5300,10.5722,9.0000,4
637,7438,6.5400,2.8122,3.0000,2
637,7525,24.1600,11.1869,12.0000,6
637,2741,10.0800,4.1408,4.0000,2
637,3815,3.0900,1.4471,3.0000,2
637,7032,8.6200,4.1180,5.0000,3
669,9664,25.0500,10.2754,12.0000,7
669,8878,3.4500,1.4295,3.0000,2
669,3182,16.4100,7.2008,9.0000,6
669,10052,17.2200,6.8670,6.0000,3
669,3217,5.6800,2.7264,2.0000,1
646,7438,22.5000,8.3400,9.0000,6
646,6149,5.9500,2.2269,2.0000,2
646,5470,10.6500,3.7020,4.0000,3
646,7192,28.3800,12.3636,11.0000,6
646,277,16.4600,5.4850,6.0000,3
649,6672,13.8600,5.0948,8.0000,5
649,599,16.1400,6.4670,9.0000,6
649,4076,3.5700,1.3821,3.0000,2
649,4939,19.2200,7.6662,8.0000,5
649,2180,20.7100,8.3160,8.0000,4
649,372,19.1700,7.4562,8.0000,6
647,4988,15.4200,6.4076,6.0000,4
647,7843,23.0100,8.4702,11.0000,4
647,4018,8.7100,3.4384,7.0000,4
647,4411,5.2800,2.0830,2.0000,2
647,2854,14.5900,5.1295,5.0000,3
647,4570,30.8800,12.5913,12.0000,5
647,10198,4.2000,1.5612,3.0000,2
653,8178,8.5800,3.8146,4.0000,2
653,230,19.7700,7.5940,10.0000,7
653,8936,23.5100,10.5581,9.0000,6
653,2630,14.6000,6.0998,5.0000,3
653,1934,25.8300,8.8347,11.0000,7
653,6149,6.8800,2.9308,5.0000,3
653,10052,18.0800,7.4342,9.0000,5
688,9296,9.1300,3.4978,4.0000,3
688,4209,7.9200,3.8808,2.0000,1
688,9684,25.8800,9.9800,13.0000,5
688,3866,23.9500,10.1045,10.0000,6
688,4117,13.3700,5.5371,4.0000,3
688,1652,2.5600,0.9472,1.0000,1
688,4411,25.4000,9.4050,10.0000,6
688,3883,23.3900,9.7324,9.0000,6
677,2383,17.1800,6.9440,9.0000,6
677,348,18.3200,7.4680,8.0000,4
677,6974,10.4000,4.5758,5.0000,4
677,5713,19.0500,7.5523,9.0000,6
677,9646,2.3200,1.1368,1.0000,1
677,6595,11.2700,3.8673,4.0000,3
677,8079,15.5500,6.8701,9.0000,6
677,5720,19.9600,7.5030,8.0000,6
687,9794,2.5600,0.9216,2.0000,1
687,5310,33.6300,13.3875,13.0000,7
687,4217,2.3400,1.0062,1.0000,1
687,1855,17.7600,6.4133,9.0000,6
687,3060,27.8500,12.3072,11.0000,5
687,6602,27.5400,10.5870,13.0000,6
687,9351,12.3100,5.6097,11.0000,7
687,10103,13.3900,5.0478,7.0000,6
679,2965,16.1100,6.0875,8.0000,5
679,6953,13.6500,5.8065,8.0000,5
679,4117,10.6600,4.2237,4.0000,3
679,3117,10.7900,4.8917,4.0000,3
679,2759,12.3900,5.7415,5.0000,3
679,8185,17.8100,6.9039,9.0000,6
679,736,11.2800,3.9278,5.0000,3
679,3788,10.0500,4.5403,5.0000,3
681,6479,12.7400,5.0257,10.0000,7
681,9517,9.1300,3.2717,4.0000,3
681,277,10.6400,4.0594,8.0000,6
681,5121,5.4200,2.3859,4.0000,2
681,1076,22.8900,9.7612,9.0000,4
681,10179,8.5100,3.8103,3.0000,2
681,5943,20.1500,8.4503,7.0000,4
681,5467,24.0900,8.3038,9.0000,5
717,8185,11.6700,4.1612,6.0000,6
717,2350,22.3200,8.9301,10.0000,5
717,4787,8.8300,3.7997,7.0000,5
717,2180,14.7500,5.1703,9.0000,4
717,4964,8.1600,3.5726,8.0000,5
717,2965,5.3600,2.1992,2.0000,2
717,3182,11.1100,4.2504,4.0000,3
725,3815,3.6900,1.2612,2.0000,2
725,5356,11.8300,5.2043,5.0000,3
725,8908,2.2000,0.8140,1.0000,1
725,5237,14.9100,5.8281,6.0000,6
725,7032,18.2600,7.5608,8.0000,5
725,4076,21.3500,7.9293,8.0000,6
725,4487,12.6300,4.6908,5.0000,3
714,230,31.9000,11.9380,18.0000,11
714,5470,11.1400,4.1947,5.0000,4
714,326,3.9200,1.2570,3.0000,2
714,2872,28.2200,11.1158,14.0000,6
714,5497,3.8700,1.7394,3.0000,2
714,7192,27.8400,11.9689,14.0000,7
724,4027,12.6100,4.9236,7.0000,5
724,7480,12.0800,5.3720,6.0000,3
724,7525,16.7000,6.3618,8.0000,3
724,2320,2.2400,0.9484,3.0000,2
724,1734,4.8400,1.6698,3.0000,2
724,3883,10.8800,4.4510,6.0000,3
724,4412,22.0100,9.7534,12.0000,7
716,6777,5.1200,2.2272,4.0000,2
716,1771,19.1300,7.5229,7.0000,6
716,4035,7.5600,2.9296,5.0000,3
716,4570,37.2200,15.4212,14.0000,7
716,8572,17.9400,6.4198,8.0000,5
716,5862,16.5800,6.3511,9.0000,6
391,4460,29.3300,11.5546,10.0000,4
391,3816,22.7100,9.1136,17.0000,5
391,3441,23.3200,9.0452,18.0000,4
391,9524,17.8200,6.5284,12.0000,3
391,10240,29.0400,11.8124,12.0000,4
391,3593,35.3900,14.3774,16.0000,6
391,7849,63.8900,26.0862,25.0000,7
391,8374,42.2300,17.1643,19.0000,7
391,4903,38.9500,17.4693,17.0000,6
391,2204,28.4700,12.1623,14.0000,5
391,2756,19.8700,8.1528,14.0000,4
391,4606,12.0600,4.8350,6.0000,3
391,5358,42.8000,16.7976,19.0000,6
391,8653,4.7400,2.0484,6.0000,2
391,5944,14.8900,6.0919,7.0000,2
391,1281,23.3100,8.9388,14.0000,4
391,4257,5.8300,2.1108,5.0000,2
391,76,23.5000,9.3887,12.0000,4
391,7413,20.4100,8.1854,11.0000,4
391,7743,21.0300,8.2629,12.0000,4
391,3693,35.3500,13.5474,14.0000,5
391,4066,19.6200,7.7859,11.0000,3
391,2507,3.7600,1.1280,2.0000,1
391,3242,20.7000,8.2767,11.0000,4
372,1634,10.9200,4.7080,6.0000,2
372,7153,3.1800,0.9540,2.0000,1
372,3476,43.8500,16.9820,17.0000,4
372,5158,20.0100,8.0769,12.0000,4
372,8003,29.2400,11.2043,19.0000,7
372,2878,44.2800,16.6842,23.0000,6
372,753,24.4400,9.9338,17.0000,6
372,4234,100.6500,41.1554,40.0000,11
372,1005,32.1600,13.6737,15.0000,5
372,1312,17.0100,7.6560,8.0000,3
372,6832,46.6800,20.3883,19.0000,6
372,2690,22.6700,9.4312,12.0000,4
372,1622,22.9100,8.7614,14.0000,5
