time_id,the_date,the_day,the_month,the_year,day_of_month,week_of_year,month_of_year,quarter,fiscal_period
738,1998-01-07 00:00:00.0,Wednesday,January,1998,7,4,1,Q1,
739,1998-01-08 00:00:00.0,Thursday,January,1998,8,4,1,Q1,
740,1998-01-09 00:00:00.0,Friday,January,1998,9,4,1,Q1,
741,1998-01-10 00:00:00.0,Saturday,January,1998,10,4,1,Q1,
742,1998-01-11 00:00:00.0,Sunday,January,1998,11,5,1,Q1,
743,1998-01-12 00:00:00.0,Monday,January,1998,12,5,1,Q1,
744,1998-01-13 00:00:00.0,Tuesday,January,1998,13,5,1,Q1,
745,1998-01-14 00:00:00.0,Wednesday,January,1998,14,5,1,Q1,
746,1998-01-15 00:00:00.0,Thursday,January,1998,15,5,1,Q1,
747,1998-01-16 00:00:00.0,Friday,January,1998,16,5,1,Q1,
748,1998-01-17 00:00:00.0,Saturday,January,1998,17,5,1,Q1,
749,1998-01-18 00:00:00.0,Sunday,January,1998,18,6,1,Q1,
750,1998-01-19 00:00:00.0,Monday,January,1998,19,6,1,Q1,
751,1998-01-20 00:00:00.0,Tuesday,January,1998,20,6,1,Q1,
752,1998-01-21 00:00:00.0,Wednesday,January,1998,21,6,1,Q1,
753,1998-01-22 00:00:00.0,Thursday,January,1998,22,6,1,Q1,
754,1998-01-23 00:00:00.0,Friday,January,1998,23,6,1,Q1,
755,1998-01-24 00:00:00.0,Saturday,January,1998,24,6,1,Q1,
756,1998-01-25 00:00:00.0,Sunday,January,1998,25,7,1,Q1,
757,1998-01-26 00:00:00.0,Monday,January,1998,26,7,1,Q1,
758,1998-01-27 00:00:00.0,Tuesday,January,1998,27,7,1,Q1,
759,1998-01-28 00:00:00.0,Wednesday,January,1998,28,7,1,Q1,
760,1998-01-29 00:00:00.0,Thursday,January,1998,29,7,1,Q1,
761,1998-01-30 00:00:00.0,Friday,January,1998,30,7,1,Q1,
762,1998-01-31 00:00:00.0,Saturday,January,1998,31,7,1,Q1,
763,1998-02-01 00:00:00.0,Sunday,February,1998,1,8,2,Q1,
764,1998-02-02 00:00:00.0,Monday,February,1998,2,8,2,Q1,
765,1998-02-03 00:00:00.0,Tuesday,February,1998,3,8,2,Q1,
766,1998-02-04 00:00:00.0,Wednesday,February,1998,4,8,2,Q1,
767,1998-02-05 00:00:00.0,Thursday,February,1998,5,8,2,Q1,
768,1998-02-06 00:00:00.0,Friday,February,1998,6,8,2,Q1,
769,1998-02-07 00:00:00.0,Saturday,February,1998,7,8,2,Q1,
